id,topic,instruction,context,response,difficulty,language,tone,source_type,quality_score,split,tags
1,Python,What is a Python list?,A beginner is learning Python collections.,"A Python list is an ordered, mutable collection that can store multiple values.",easy,English,teaching,synthetic,5,train,"python,list"
2,Python,Explain a Python dictionary.,The learner already knows lists.,A dictionary stores data as key-value pairs and provides fast lookup by key.,easy,English,teaching,synthetic,5,train,"python,dictionary"
3,ML,What is supervised learning?,The learner knows what a dataset is.,Supervised learning trains a model using labeled input-output examples.,easy,English,teaching,synthetic,5,train,"ml,supervised"
4,ML,What is unsupervised learning?,There are no target labels in the dataset.,"Unsupervised learning finds patterns or structure in unlabeled data, such as clusters.",easy,English,teaching,synthetic,5,train,"ml,unsupervised"
5,ML,What is overfitting?,A model performs very well on training data but poorly on new data.,Overfitting happens when a model memorizes training patterns and fails to generalize to unseen data.,easy,English,teaching,synthetic,5,train,"ml,overfitting"
6,DL,What is a neuron in a neural network?,Explain it to a beginner.,"A neuron receives inputs, multiplies them by weights, adds a bias, and applies an activation function.",easy,English,teaching,synthetic,5,train,"dl,neuron"
7,DL,Why do neural networks use activation functions?,"Without activation, layers would only perform linear transformations.",Activation functions introduce non-linearity so neural networks can learn complex patterns.,medium,English,teaching,synthetic,5,train,"dl,activation"
8,DL,What is backpropagation?,The model has produced a loss value.,Backpropagation computes gradients of the loss with respect to model parameters so the optimizer can update the weights.,medium,English,teaching,synthetic,5,train,"dl,backpropagation"
9,LLM,What is tokenization?,The input is a sentence that must be processed by a language model.,Tokenization splits text into smaller units called tokens and maps them to numeric token IDs.,easy,English,teaching,synthetic,5,validation,"llm,tokenization"
10,LLM,What is an embedding?,A token ID by itself does not capture semantic meaning.,An embedding is a dense numeric vector that represents a token or text in a learned vector space.,easy,English,teaching,synthetic,5,train,"llm,embedding"
11,LLM,Explain causal language modeling.,The model predicts text from left to right.,Causal language modeling trains a model to predict the next token using only previous tokens in the sequence.,medium,English,interview,synthetic,5,train,"llm,clm"
12,LLM,What is next-token prediction?,Input tokens are already available up to the current position.,Next-token prediction estimates the probability distribution of the token that should come next.,easy,English,teaching,synthetic,5,train,"llm,next-token"
13,LLM,What does attention do?,A sequence contains many tokens.,Attention lets each token assign different importance to other relevant tokens when building its representation.,medium,English,interview,synthetic,5,train,"transformer,attention"
14,LLM,What is self-attention?,"Queries, keys, and values are produced from the same sequence.",Self-attention allows tokens in one sequence to interact with and weigh other tokens in that same sequence.,medium,English,teaching,synthetic,5,train,"transformer,self-attention"
15,LLM,Why are positional embeddings needed?,Transformers process tokens in parallel.,Positional information tells the model about token order because attention alone does not inherently encode sequence position.,medium,English,interview,synthetic,5,train,"transformer,position"
16,LLM,What is fine-tuning?,A pretrained language model already knows general language patterns.,Fine-tuning continues training a pretrained model on a smaller task-specific dataset so it adapts to the desired behavior or domain.,easy,English,teaching,synthetic,5,train,"llm,fine-tuning"
17,LLM,What is instruction tuning?,The dataset contains instructions paired with good responses.,Instruction tuning fine-tunes a model on instruction-response examples so it learns to follow user requests more effectively.,medium,English,interview,synthetic,5,train,"llm,instruction-tuning"
18,LLM,What is a context window?,A model receives a finite number of tokens at once.,The context window is the maximum number of tokens the model can consider in a single input sequence.,easy,English,teaching,synthetic,5,train,"llm,context-window"
19,LLM,What is perplexity?,We want to evaluate a language model on text prediction.,Perplexity is an exponentiated language-model loss; lower values generally indicate better next-token prediction on the evaluation data.,medium,English,interview,synthetic,5,validation,"llm,perplexity"
20,LLM,What is cross-entropy loss in an LLM?,The model outputs probabilities over the vocabulary.,Cross-entropy loss penalizes the model when the probability assigned to the correct next token is low.,medium,English,teaching,synthetic,5,train,"llm,loss"
21,Python,"In simple words, what is a Python list?",A beginner is learning Python collections. Give a short answer.,"A Python list is an ordered, mutable collection that can store multiple values.",easy,English,teaching,synthetic,5,train,"python,list"
22,Python,"In simple words, explain a Python dictionary.",The learner already knows lists. Give a short answer.,A dictionary stores data as key-value pairs and provides fast lookup by key.,easy,English,teaching,synthetic,5,train,"python,dictionary"
23,ML,"In simple words, what is supervised learning?",The learner knows what a dataset is. Give a short answer.,Supervised learning trains a model using labeled input-output examples.,easy,English,teaching,synthetic,5,train,"ml,supervised"
24,ML,"In simple words, what is unsupervised learning?",There are no target labels in the dataset. Give a short answer.,"Unsupervised learning finds patterns or structure in unlabeled data, such as clusters.",easy,English,teaching,synthetic,5,train,"ml,unsupervised"
25,ML,"In simple words, what is overfitting?",A model performs very well on training data but poorly on new data. Give a short answer.,Overfitting happens when a model memorizes training patterns and fails to generalize to unseen data.,easy,English,teaching,synthetic,5,train,"ml,overfitting"
26,DL,"In simple words, what is a neuron in a neural network?",Explain it to a beginner. Give a short answer.,"A neuron receives inputs, multiplies them by weights, adds a bias, and applies an activation function.",easy,English,teaching,synthetic,5,train,"dl,neuron"
27,DL,"In simple words, why do neural networks use activation functions?","Without activation, layers would only perform linear transformations. Give a short answer.",Activation functions introduce non-linearity so neural networks can learn complex patterns.,medium,English,teaching,synthetic,5,train,"dl,activation"
28,DL,"In simple words, what is backpropagation?",The model has produced a loss value. Give a short answer.,Backpropagation computes gradients of the loss with respect to model parameters so the optimizer can update the weights.,medium,English,teaching,synthetic,5,train,"dl,backpropagation"
29,LLM,"In simple words, what is tokenization?",The input is a sentence that must be processed by a language model. Give a short answer.,Tokenization splits text into smaller units called tokens and maps them to numeric token IDs.,easy,English,teaching,synthetic,5,validation,"llm,tokenization"
30,LLM,"In simple words, what is an embedding?",A token ID by itself does not capture semantic meaning. Give a short answer.,An embedding is a dense numeric vector that represents a token or text in a learned vector space.,easy,English,teaching,synthetic,5,train,"llm,embedding"
